rup_mag,dist_rrup,result_type,damping,pga
5,5.5901699,TOTAL_STDDEV,5,0.6550000
5,9.0138779,TOTAL_STDDEV,5,0.6550000
5,13.4629116,TOTAL_STDDEV,5,0.6550000
5,18.2002754,TOTAL_STDDEV,5,0.6550000
5,23.0488605,TOTAL_STDDEV,5,0.6550000
5,27.9508495,TOTAL_STDDEV,5,0.6550000
5,32.8823662,TOTAL_STDDEV,5,0.6550000
5,37.8318634,TOTAL_STDDEV,5,0.6550000
5,42.7931061,TOTAL_STDDEV,5,0.6550000
5,47.7624321,TOTAL_STDDEV,5,0.6550000
5,52.7375565,TOTAL_STDDEV,5,0.6550000
5,57.7169838,TOTAL_STDDEV,5,0.6550000
5,62.6996803,TOTAL_STDDEV,5,0.6550000
5,67.6849289,TOTAL_STDDEV,5,0.6550000
5,72.6722107,TOTAL_STDDEV,5,0.6550000
5,77.6611252,TOTAL_STDDEV,5,0.6550000
5,82.6513748,TOTAL_STDDEV,5,0.6550000
5,87.6427383,TOTAL_STDDEV,5,0.6550000
5,92.6350403,TOTAL_STDDEV,5,0.6550000
5,97.6281204,TOTAL_STDDEV,5,0.6550000
5.5,5.5901699,TOTAL_STDDEV,5,0.5995001
5.5,9.0138779,TOTAL_STDDEV,5,0.5995001
5.5,13.4629116,TOTAL_STDDEV,5,0.5995001
5.5,18.2002754,TOTAL_STDDEV,5,0.5995001
5.5,23.0488605,TOTAL_STDDEV,5,0.5995001
5.5,27.9508495,TOTAL_STDDEV,5,0.5995001
5.5,32.8823662,TOTAL_STDDEV,5,0.5995001
5.5,37.8318634,TOTAL_STDDEV,5,0.5995001
5.5,42.7931061,TOTAL_STDDEV,5,0.5995001
5.5,47.7624321,TOTAL_STDDEV,5,0.5995001
5.5,52.7375565,TOTAL_STDDEV,5,0.5995001
5.5,57.7169838,TOTAL_STDDEV,5,0.5995001
5.5,62.6996803,TOTAL_STDDEV,5,0.5995001
5.5,67.6849289,TOTAL_STDDEV,5,0.5995001
5.5,72.6722107,TOTAL_STDDEV,5,0.5995001
5.5,77.6611252,TOTAL_STDDEV,5,0.5995001
5.5,82.6513748,TOTAL_STDDEV,5,0.5995001
5.5,87.6427383,TOTAL_STDDEV,5,0.5995001
5.5,92.6350403,TOTAL_STDDEV,5,0.5995001
5.5,97.6281204,TOTAL_STDDEV,5,0.5995001
6,5.5901699,TOTAL_STDDEV,5,0.5440000
6,9.0138779,TOTAL_STDDEV,5,0.5440000
6,13.4629116,TOTAL_STDDEV,5,0.5440000
6,18.2002754,TOTAL_STDDEV,5,0.5440000
6,23.0488605,TOTAL_STDDEV,5,0.5440000
6,27.9508495,TOTAL_STDDEV,5,0.5440000
6,32.8823662,TOTAL_STDDEV,5,0.5440000
6,37.8318634,TOTAL_STDDEV,5,0.5440000
6,42.7931061,TOTAL_STDDEV,5,0.5440000
6,47.7624321,TOTAL_STDDEV,5,0.5440000
6,52.7375565,TOTAL_STDDEV,5,0.5440000
6,57.7169838,TOTAL_STDDEV,5,0.5440000
6,62.6996803,TOTAL_STDDEV,5,0.5440000
6,67.6849289,TOTAL_STDDEV,5,0.5440000
6,72.6722107,TOTAL_STDDEV,5,0.5440000
6,77.6611252,TOTAL_STDDEV,5,0.5440000
6,82.6513748,TOTAL_STDDEV,5,0.5440000
6,87.6427383,TOTAL_STDDEV,5,0.5440000
6,92.6350403,TOTAL_STDDEV,5,0.5440000
6,97.6281204,TOTAL_STDDEV,5,0.5440000
6.5,5.5901699,TOTAL_STDDEV,5,0.4885000
6.5,9.0138779,TOTAL_STDDEV,5,0.4885000
6.5,13.4629116,TOTAL_STDDEV,5,0.4885000
6.5,18.2002754,TOTAL_STDDEV,5,0.4885000
6.5,23.0488605,TOTAL_STDDEV,5,0.4885000
6.5,27.9508495,TOTAL_STDDEV,5,0.4885000
6.5,32.8823662,TOTAL_STDDEV,5,0.4885000
6.5,37.8318634,TOTAL_STDDEV,5,0.4885000
6.5,42.7931061,TOTAL_STDDEV,5,0.4885000
6.5,47.7624321,TOTAL_STDDEV,5,0.4885000
6.5,52.7375565,TOTAL_STDDEV,5,0.4885000
6.5,57.7169838,TOTAL_STDDEV,5,0.4885000
6.5,62.6996803,TOTAL_STDDEV,5,0.4885000
6.5,67.6849289,TOTAL_STDDEV,5,0.4885000
6.5,72.6722107,TOTAL_STDDEV,5,0.4885000
6.5,77.6611252,TOTAL_STDDEV,5,0.4885000
6.5,82.6513748,TOTAL_STDDEV,5,0.4885000
6.5,87.6427383,TOTAL_STDDEV,5,0.4885000
6.5,92.6350403,TOTAL_STDDEV,5,0.4885000
6.5,97.6281204,TOTAL_STDDEV,5,0.4885000
7,5.5901699,TOTAL_STDDEV,5,0.4330000
7,9.0138779,TOTAL_STDDEV,5,0.4330000
7,13.4629116,TOTAL_STDDEV,5,0.4330000
7,18.2002754,TOTAL_STDDEV,5,0.4330000
7,23.0488605,TOTAL_STDDEV,5,0.4330000
7,27.9508495,TOTAL_STDDEV,5,0.4330000
7,32.8823662,TOTAL_STDDEV,5,0.4330000
7,37.8318634,TOTAL_STDDEV,5,0.4330000
7,42.7931061,TOTAL_STDDEV,5,0.4330000
7,47.7624321,TOTAL_STDDEV,5,0.4330000
7,52.7375565,TOTAL_STDDEV,5,0.4330000
7,57.7169838,TOTAL_STDDEV,5,0.4330000
7,62.6996803,TOTAL_STDDEV,5,0.4330000
7,67.6849289,TOTAL_STDDEV,5,0.4330000
7,72.6722107,TOTAL_STDDEV,5,0.4330000
7,77.6611252,TOTAL_STDDEV,5,0.4330000
7,82.6513748,TOTAL_STDDEV,5,0.4330000
7,87.6427383,TOTAL_STDDEV,5,0.4330000
7,92.6350403,TOTAL_STDDEV,5,0.4330000
7,97.6281204,TOTAL_STDDEV,5,0.4330000
7.5,5.5901699,TOTAL_STDDEV,5,0.4090000
7.5,9.0138779,TOTAL_STDDEV,5,0.4090000
7.5,13.4629116,TOTAL_STDDEV,5,0.4090000
7.5,18.2002754,TOTAL_STDDEV,5,0.4090000
7.5,23.0488605,TOTAL_STDDEV,5,0.4090000
7.5,27.9508495,TOTAL_STDDEV,5,0.4090000
7.5,32.8823662,TOTAL_STDDEV,5,0.4090000
7.5,37.8318634,TOTAL_STDDEV,5,0.4090000
7.5,42.7931061,TOTAL_STDDEV,5,0.4090000
7.5,47.7624321,TOTAL_STDDEV,5,0.4090000
7.5,52.7375565,TOTAL_STDDEV,5,0.4090000
7.5,57.7169838,TOTAL_STDDEV,5,0.4090000
7.5,62.6996803,TOTAL_STDDEV,5,0.4090000
7.5,67.6849289,TOTAL_STDDEV,5,0.4090000
7.5,72.6722107,TOTAL_STDDEV,5,0.4090000
7.5,77.6611252,TOTAL_STDDEV,5,0.4090000
7.5,82.6513748,TOTAL_STDDEV,5,0.4090000
7.5,87.6427383,TOTAL_STDDEV,5,0.4090000
7.5,92.6350403,TOTAL_STDDEV,5,0.4090000
7.5,97.6281204,TOTAL_STDDEV,5,0.4090000
