rup_mag,dist_rrup,site_vs30,rup_rake,rup_hypo_depth,result_type,damping,0.075,0.1,0.2,0.3,0.4,0.5,0.75,1,1.5,2,3,pga
5,30,200,90,30,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,30,500,90,30,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,30,800,90,30,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,30,200,90,50,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,30,500,90,50,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,30,800,90,50,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,30,200,90,70,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,30,500,90,70,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,30,800,90,70,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,100,200,90,30,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,100,500,90,30,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,100,800,90,30,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,100,200,90,50,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
