rup_mag,dist_rhypo,site_vs30,result_type,damping,PGA,0.05,0.1,0.2,0.5,1.0,2.0,10.0
4,10,500,TOTAL_STDDEV,5,0.678094259002831,0.697366036612546,0.699056663288273,0.753027546815626,0.826539729546706,0.871426659509896,0.939815420498811,0.976569418718331
4,20,500,TOTAL_STDDEV,5,0.678094259002831,0.697366036612546,0.699056663288273,0.753027546815626,0.826539729546706,0.871426659509896,0.939815420498811,0.976569418718331
4,50,500,TOTAL_STDDEV,5,0.678094259002831,0.697366036612546,0.699056663288273,0.753027546815626,0.826539729546706,0.871426659509896,0.939815420498811,0.976569418718331
4,100,500,TOTAL_STDDEV,5,0.678094259002831,0.697366036612546,0.699056663288273,0.753027546815626,0.826539729546706,0.871426659509896,0.939815420498811,0.976569418718331
4,150,500,TOTAL_STDDEV,5,0.678094259002831,0.697366036612546,0.699056663288273,0.753027546815626,0.826539729546706,0.871426659509896,0.939815420498811,0.976569418718331
4,200,500,TOTAL_STDDEV,5,0.678094259002831,0.697366036612546,0.699056663288273,0.753027546815626,0.826539729546706,0.871426659509896,0.939815420498811,0.976569418718331
5,10,500,TOTAL_STDDEV,5,0.677235992398597,0.696597637514519,0.698392092178977,0.752230286117867,0.825185950853841,0.869569038726882,0.93780127950997,0.974297716888422
5,20,500,TOTAL_STDDEV,5,0.677235992398597,0.696597637514519,0.698392092178977,0.752230286117867,0.825185950853841,0.869569038726882,0.93780127950997,0.974297716888422
5,50,500,TOTAL_STDDEV,5,0.677235992398597,0.696597637514519,0.698392092178977,0.752230286117867,0.825185950853841,0.869569038726882,0.93780127950997,0.974297716888422
5,100,500,TOTAL_STDDEV,5,0.677235992398597,0.696597637514519,0.698392092178977,0.752230286117867,0.825185950853841,0.869569038726882,0.93780127950997,0.974297716888422
5,150,500,TOTAL_STDDEV,5,0.677235992398597,0.696597637514519,0.698392092178977,0.752230286117867,0.825185950853841,0.869569038726882,0.93780127950997,0.974297716888422
5,200,500,TOTAL_STDDEV,5,0.677235992398597,0.696597637514519,0.698392092178977,0.752230286117867,0.825185950853841,0.869569038726882,0.93780127950997,0.974297716888422
