rup_mag,rup_hypo_depth,dist_rrup,site_vs30,result_type,damping,pga,0.1,0.2,1,2
5,50,50.2494,761,MEAN,5,0.0122644,0.0265669,0.0250886,0.0026196,0.000490245
5,50,52.2015,761,MEAN,5,0.0113573,0.0245831,0.0232432,0.002429,0.000455703
5,50,55.9017,761,MEAN,5,0.00988351,0.0213622,0.0202443,0.002119,0.000399402
5,50,61.0328,761,MEAN,5,0.00825461,0.017806,0.016928,0.0017759,0.000336902
5,50,67.2681,761,MEAN,5,0.00674415,0.0145121,0.0138503,0.001457,0.0002786
5,50,74.3303,761,MEAN,5,0.0054636,0.0117245,0.0112389,0.0011859,0.00022882
5,50,82.0061,761,MEAN,5,0.00442573,0.00946892,0.00911995,0.0009656,0.000188079
5,50,90.1388,761,MEAN,5,0.00360121,0.00768009,0.00743455,0.0007899,0.000155474
5,50,98.6154,761,MEAN,5,0.00294974,0.00627006,0.00610191,0.0006507,0.000129454
5,50,107.355,761,MEAN,5,0.00243483,0.00515764,0.00504662,0.0005403,0.000108664
5,50,116.297,761,MEAN,5,0.00202537,0.00427549,0.00420661,0.0004521,9.20057E-005
5,50,125.399,761,MEAN,5,0.0016974,0.00357061,0.00353301,0.0003812,0.000078447
5,50,134.629,761,MEAN,5,0.00143278,0.00300299,0.0029887,0.0003238,6.74063E-005
5,50,143.962,761,MEAN,5,0.00121764,0.00254246,0.00254496,0.0002769,5.83671E-005
5,50,153.379,761,MEAN,5,0.00104101,0.00216593,0.00218062,0.0002382,0.000050813
5,50,162.865,761,MEAN,5,0.000895041,0.00185534,0.00187894,0.0002061,4.44856E-005
5,50,172.409,761,MEAN,5,0.000773478,0.00159746,0.00162754,0.0001793,3.91267E-005
5,50,182.003,761,MEAN,5,0.00067184,0.00138214,0.00141644,0.0001567,3.46716E-005
5,50,191.638,761,MEAN,5,0.000585873,0.00120091,0.00123826,0.0001375,3.07977E-005
5,50,201.308,761,MEAN,5,0.000513115,0.00104759,0.00108682,0.0001212,2.74403E-005
