rup_mag,dist_rrup,site_vs30,site_xvf,result_type,damping,pga,0.1,0.2,0.5,1.0,2.0,5.0
5.5,30.0,300.0,120.0,MEAN,5,2.53599512e-02,4.64751527e-02,5.86107973e-02,4.16261369e-02,2.08309905e-02,5.23678776e-03,6.53965967e-04
5.5,50.0,300.0,100.0,MEAN,5,1.14357307e-02,2.04491393e-02,2.63650147e-02,2.13057060e-02,1.18865663e-02,3.18789578e-03,4.18733547e-04
5.5,80.0,300.0,70.0,MEAN,5,4.80497631e-03,8.36995289e-03,1.10896386e-02,1.02698645e-02,6.44545490e-03,1.85385268e-03,2.53353495e-04
5.5,120.0,300.0,30.0,MEAN,5,1.99922934e-03,3.40826799e-03,4.65074486e-03,4.89945524e-03,3.45760372e-03,1.06585655e-03,1.48968462e-04
5.5,150.0,300.0,-0.0,MEAN,5,1.15588647e-03,1.95071329e-03,2.71298422e-03,3.08135018e-03,2.33732780e-03,7.51739726e-04,1.05586140e-04
5.5,250.0,300.0,-100.0,MEAN,5,1.12439222e-04,1.31543182e-04,2.17693254e-04,5.38384685e-04,8.56165854e-04,3.86409425e-04,5.32330198e-05
5.5,300.0,300.0,-150.0,MEAN,5,4.93887219e-05,5.40797405e-05,9.34840564e-05,2.78410253e-04,5.23909194e-04,2.54166069e-04,3.42799664e-05
5.5,30.0,600.0,120.0,MEAN,5,1.93229647e-02,3.88762077e-02,4.25103072e-02,2.50958085e-02,1.17384711e-02,3.10867928e-03,4.32654545e-04
5.5,50.0,600.0,100.0,MEAN,5,8.62341562e-03,1.68105274e-02,1.88148779e-02,1.27450955e-02,6.67409359e-03,1.89136607e-03,2.77028135e-04
5.5,80.0,600.0,70.0,MEAN,5,3.60549441e-03,6.82380665e-03,7.85334402e-03,6.12090484e-03,3.61286989e-03,1.09959805e-03,1.67615054e-04
5.5,120.0,600.0,30.0,MEAN,5,1.49703194e-03,2.76893207e-03,3.28285419e-03,2.91559089e-03,1.93670600e-03,6.32135309e-04,9.85554074e-05
5.5,150.0,600.0,-0.0,MEAN,5,8.64991239e-04,1.58311880e-03,1.91316973e-03,1.83281321e-03,1.30892583e-03,4.45825142e-04,6.98542823e-05
5.5,250.0,600.0,-100.0,MEAN,5,8.40771548e-05,1.06615675e-04,1.53330407e-04,3.20052047e-04,4.79334057e-04,2.29153859e-04,3.52182057e-05
5.5,300.0,600.0,-150.0,MEAN,5,3.69290081e-05,4.38281395e-05,6.58399176e-05,1.65500033e-04,2.93311747e-04,1.50728706e-04,2.26791363e-05
5.5,30.0,900.0,120.0,MEAN,5,1.63871065e-02,3.47106012e-02,3.48141515e-02,1.85122322e-02,8.36066382e-03,2.28999643e-03,3.39774577e-04
5.5,50.0,900.0,100.0,MEAN,5,7.29188611e-03,1.49295625e-02,1.53628638e-02,9.40157667e-03,4.75358777e-03,1.39326742e-03,2.17557214e-04
5.5,80.0,900.0,70.0,MEAN,5,3.04458552e-03,6.04506988e-03,6.40350759e-03,4.51516084e-03,2.57324742e-03,8.10014605e-04,1.31632349e-04
5.5,120.0,900.0,30.0,MEAN,5,1.26340617e-03,2.45034465e-03,2.67521844e-03,2.15072153e-03,1.37940858e-03,4.65660003e-04,7.73980586e-05
5.5,150.0,900.0,-0.0,MEAN,5,7.29874535e-04,1.40052356e-03,1.55877874e-03,1.35199724e-03,9.32275482e-04,3.28415347e-04,5.48583378e-05
5.5,250.0,900.0,-100.0,MEAN,5,7.09285831e-05,9.42817053e-05,1.24900591e-04,2.36090334e-04,3.41403141e-04,1.68805294e-04,2.76577493e-05
5.5,300.0,900.0,-150.0,MEAN,5,3.11533885e-05,3.87569063e-05,5.36314771e-05,1.22083138e-04,2.08909737e-04,1.11033712e-04,1.78105003e-05
6.5,30.0,300.0,120.0,MEAN,5,8.16533307e-02,1.43034258e-01,1.87202301e-01,1.51987279e-01,8.80321705e-02,2.77000100e-02,4.74164096e-03
6.5,50.0,300.0,100.0,MEAN,5,4.14027364e-02,7.24427722e-02,9.59788190e-02,8.58197190e-02,5.45311681e-02,1.81074492e-02,3.23818945e-03
6.5,80.0,300.0,70.0,MEAN,5,1.90290277e-02,3.29018869e-02,4.45102344e-02,4.47020277e-02,3.16364153e-02,1.11914237e-02,2.07313464e-03
6.5,120.0,300.0,30.0,MEAN,5,8.45034553e-03,1.44050465e-02,2.00020732e-02,2.26075389e-02,1.78922589e-02,6.75913883e-03,1.27711782e-03
6.5,150.0,300.0,-0.0,MEAN,5,5.04477206e-03,8.53490736e-03,1.20643993e-02,1.46433444e-02,1.24306147e-02,4.89271103e-03,9.28029422e-04
6.5,250.0,300.0,-100.0,MEAN,5,5.24521630e-04,6.17416134e-04,1.03671883e-03,2.72381742e-03,4.83173959e-03,2.66311137e-03,4.94565034e-04
6.5,300.0,300.0,-150.0,MEAN,5,2.35427822e-04,2.59485322e-04,4.55022532e-04,1.43821352e-03,3.01700645e-03,1.78673858e-03,3.24710652e-04
6.5,30.0,600.0,120.0,MEAN,5,6.49053560e-02,1.28322510e-01,1.45142166e-01,9.46749470e-02,5.03640440e-02,1.64815045e-02,3.13700195e-03
6.5,50.0,600.0,100.0,MEAN,5,3.19278694e-02,6.18227731e-02,7.09362789e-02,5.22138729e-02,3.08588982e-02,1.07559485e-02,2.14233990e-03
6.5,80.0,600.0,70.0,MEAN,5,1.44307664e-02,2.73054627e-02,3.20455632e-02,2.68544271e-02,1.77981143e-02,6.64181767e-03,1.37155627e-03
