rup_mag,rup_hypo_depth,dist_rhypo,site_vs30,site_backarc,result_type,damping,pga,0.020,0.050,0.075,0.100,0.200,0.300,0.400,0.500,0.600,0.750,1.000,2.000,3.000,5.000,10.000
5.0,45.0,1.0,180.0,0.0,MEAN,5.0,6.13167470e-01,6.13167470e-01,5.56688119e-01,6.43775503e-01,7.28600421e-01,7.14633245e-01,5.02476586e-01,3.89809011e-01,2.77323455e-01,2.04698163e-01,1.46350468e-01,9.31365360e-02,2.67612033e-02,1.00617987e-02,2.62013132e-03,5.72232876e-04
5.0,45.0,5.0,180.0,0.0,MEAN,5.0,4.02364028e-01,4.02364028e-01,3.99642921e-01,4.79949656e-01,5.69539311e-01,6.29806662e-01,4.63446419e-01,3.59115985e-01,2.54022077e-01,1.86459704e-01,1.30534358e-01,7.87832193e-02,1.82152940e-02,6.67505603e-03,1.81244859e-03,4.19704982e-04
5.0,45.0,10.0,180.0,0.0,MEAN,5.0,2.68127600e-01,2.68127600e-01,2.88906822e-01,3.57711310e-01,4.38267647e-01,5.13541044e-01,3.83491679e-01,2.95073318e-01,2.08103267e-01,1.52870821e-01,1.06194436e-01,6.24665316e-02,1.28406715e-02,4.66038769e-03,1.31124043e-03,3.19146486e-04
5.0,45.0,20.0,180.0,0.0,MEAN,5.0,1.36186443e-01,1.36186443e-01,1.59342929e-01,2.02215289e-01,2.53900139e-01,3.06508559e-01,2.32979578e-01,1.80312862e-01,1.28840656e-01,9.62867925e-02,6.76039661e-02,3.97165418e-02,7.77144537e-03,2.83899526e-03,8.37146208e-04,2.17588509e-04
5.0,45.0,50.0,180.0,0.0,MEAN,5.0,3.44333979e-02,3.44333979e-02,4.21284114e-02,5.33550586e-02,6.78722592e-02,8.42437169e-02,6.83314422e-02,5.55562968e-02,4.17299492e-02,3.28389144e-02,2.40836087e-02,1.47576691e-02,3.09002837e-03,1.17192390e-03,3.72597969e-04,1.07612153e-04
5.0,45.0,100.0,180.0,0.0,MEAN,5.0,9.37734979e-03,9.37734979e-03,1.13427446e-02,1.40380787e-02,1.79018286e-02,2.27532391e-02,1.96472277e-02,1.67214903e-02,1.30358232e-02,1.06914874e-02,8.08769266e-03,5.17606146e-03,1.20380275e-03,4.75686573e-04,1.61108685e-04,5.08369602e-05
5.0,45.0,300.0,180.0,0.0,MEAN,5.0,8.77309515e-04,8.77309515e-04,1.01352810e-03,1.19330629e-03,1.52292356e-03,1.90145449e-03,1.66898341e-03,1.41385611e-03,1.06508591e-03,8.78111538e-04,6.41473985e-04,4.24804285e-04,1.17802961e-04,5.00687055e-05,1.88459706e-05,6.89405670e-06
5.0,45.0,1.0,360.0,0.0,MEAN,5.0,9.10443269e-01,9.10443269e-01,1.03515294e+00,1.34657396e+00,1.59490534e+00,1.67232538e+00,1.13621680e+00,8.09617343e-01,5.29267407e-01,3.54453475e-01,2.19699605e-01,1.15226424e-01,1.79163956e-02,6.31077122e-03,1.73344147e-03,4.03509429e-04
5.0,45.0,5.0,360.0,0.0,MEAN,5.0,4.93301645e-01,4.93301645e-01,6.05679694e-01,8.04850670e-01,9.72341247e-01,1.02414141e+00,6.83512226e-01,4.76606547e-01,3.10827555e-01,2.10368469e-01,1.32419626e-01,7.09737155e-02,1.16174486e-02,4.18660250e-03,1.19909010e-03,2.95954540e-04
5.0,45.0,10.0,360.0,0.0,MEAN,5.0,2.77837585e-01,2.77837585e-01,3.60206157e-01,4.84493761e-01,5.91376666e-01,6.18378154e-01,4.11397211e-01,2.86357275e-01,1.88851460e-01,1.30161266e-01,8.36575652e-02,4.59502633e-02,7.93962404e-03,2.92300030e-03,8.67497944e-04,2.25045819e-04
