lon,lat,unit,dr,susc_cat,gwd,vs30,cti,precip,dc
-76.54089628,3.350158496,TQplp,1.374983681,n,3.0,425.0,4.287466,141,74
-76.5447625,3.350644261,TQplp,1.362501938,n,3.0,425.0,3.6141183,141,74
-76.52807865,3.346549516,TQplp,1.806347896,n,3.0,425.0,5.3289223,131,75
-76.52986033,3.356627335,TQplp,0.847645292,n,3.0,425.0,6.5145426,132,74
-76.52791777,3.351601131,TQplp,1.254576081,n,3.0,425.0,6.1398516,131,75
-76.53695948,3.359381589,TQplp,0.627853599,n,3.0,425.0,6.5706253,132,73
-76.53186688,3.357215666,TQplp,0.963478385,n,3.0,425.0,7.2076874,132,74
-76.53359358,3.358809652,TQplp,0.987028934,n,3.0,425.0,7.2076874,132,74
-76.53623366,3.360646342,TQplp,0.638317083,n,3.0,425.0,4.193923,132,73
-76.54101536,3.356775668,TQplp,0.640623466,n,3.0,425.0,4.5816956,137,73
-76.54250938,3.355253032,TQplp,0.811256047,n,3.0,425.0,4.7535515,137,73
-76.53311662,3.352947214,TQplp,1.393868392,n,3.0,425.0,4.7535505,137,75
-76.54269425,3.353216984,TQplp,1.038529146,n,3.0,425.0,4.7535515,141,74
-76.54169775,3.341862125,TQplp,1.182296667,n,3.0,425.0,4.8870897,133,74
-76.53558166,3.341928921,TQplp,1.814187887,n,3.0,425.0,5.2235613,135,74
-76.53691189,3.353697188,TQplp,1.112490655,n,3.0,425.0,6.0445385,137,74
-76.53856634,3.34599949,TQplp,1.663753231,n,3.0,425.0,3.7419565,141,74
-76.54002309,3.35269191,TQplp,1.105816487,n,3.0,425.0,4.7535515,141,74
-76.54181451,3.340562482,TQplp,1.14702008,n,3.0,425.0,4.8870897,133,74
-76.54116008,3.340542827,TQplp,1.219287186,n,3.0,425.0,4.8870897,133,74
-76.54144139,3.347618601,TQplp,1.482760412,n,3.0,425.0,3.8625848,141,74
-76.53316651,3.34031448,TQplp,1.925091915,n,3.0,425.0,4.6357746,135,75
-76.53377436,3.363899064,TQplp,0.891266595,n,3.0,330.0,6.678837,159,74
-76.53905308,3.362678635,TQplp,0.291295601,n,3.0,425.0,4.193923,136,73
-76.54535137,3.355902278,TQplp,0.840290682,n,3.0,425.0,3.9997766,137,72
-76.5431207,3.341079921,TQplp,1.010397718,n,3.0,425.0,4.8870897,133,74
-76.54586651,3.352757775,TQplp,1.179660431,n,3.0,425.0,3.9997766,132,73
-76.50708757,3.486345242,Q4,0.334766642,h,0.3,270.0,7.525997,170,71
-76.56333455,3.414080026,Qt,0.189850111,m,1.0,555.0,4.320627,122,69
-76.53716364,3.457680025,Qt,0.577408047,m,1.0,425.0,4.124832,191,69
-76.55880589,3.412665613,Qt,0.213240772,m,1.0,425.0,4.635705,133,69
-76.53819157,3.455463683,Qt,0.375877733,m,1.0,555.0,11.651923,119,69
-76.53796528,3.455679822,Qt,0.399911294,m,1.0,555.0,11.651923,119,69
-76.53884272,3.4533877,Qt,0.145038956,m,1.0,425.0,11.651923,129,70
-76.54303507,3.450330484,Qt,0.194907953,m,1.0,425.0,3.9706867,129,70
-76.5633099,3.413303247,Qt,0.126836404,m,1.0,555.0,4.320627,122,69
-76.54175178,3.44998768,Qt,0.233026019,m,1.0,425.0,3.9706867,129,70
-76.56306046,3.409302826,Qt,0.207316085,m,1.0,555.0,2.227764,139,69
-76.53632157,3.458305489,Qt,0.560377035,m,1.0,425.0,4.124832,191,69
-76.56942085,3.453564371,Qd,0.29862832,l,1.25,555.0,3.195296,141,67
-76.54472493,3.449613165,Qd,0.29528943,l,1.25,425.0,3.555742,129,70
-76.53509942,3.443837743,Qd,0.917546182,l,1.25,330.0,5.041133,177,70
-76.53789894,3.447259323,Qd,0.536405475,l,1.25,425.0,4.7534504,129,70
-76.56171987,3.45370079,Qd,0.42558057,l,1.25,555.0,3.4151561,137,68
-76.5397422,3.44386924,Qd,0.913365506,l,1.25,425.0,4.4349966,131,70
-76.57403502,3.454699231,Qd,0.212600474,l,1.25,555.0,3.6548288,133,67
-76.53990639,3.436710184,Qd,0.976125975,l,1.25,330.0,7.274729,135,70
-76.54063011,3.444819384,Qd,0.807714313,l,1.25,425.0,4.4349966,131,70
-76.54240952,3.439143933,Qd,1.349335435,l,1.25,425.0,7.274729,131,70
-76.5619985,3.451595539,Qd,0.409071939,l,1.25,555.0,10.132632,137,68
-76.57802612,3.454718207,Qd,0.292984584,l,1.25,555.0,10.063603,133,65
-76.54054847,3.443616681,Qd,0.941448785,l,1.25,425.0,4.886984,131,70
-76.56501261,3.454420839,Qd,0.203393423,l,1.25,425.0,3.6548288,141,67
-76.5602969,3.454564697,Qd,0.469537841,l,1.25,425.0,2.8816383,138,68
-76.53851896,3.442692953,Qd,1.044162652,l,1.25,425.0,5.4466,131,70
-76.56828446,3.451896621,Qd,0.44255073,l,1.25,555.0,9.813133,141,67
-76.54365228,3.43949469,Qd,1.38012267,l,1.25,425.0,7.274729,131,70
-76.54591753,3.439659801,Qd,1.3984394,l,1.25,555.0,5.0836954,143,69
-76.53868506,3.44474574,Qd,0.815903152,l,1.25,425.0,4.7534504,131,70
-76.56148625,3.453556441,Qd,0.45529902,l,1.25,555.0,3.4151561,137,68
-76.53951971,3.442881879,Qd,1.02315504,l,1.25,425.0,5.4466,131,70
-76.54394253,3.441290543,Qd,1.200294463,l,1.25,425.0,5.0836954,131,70
-76.53953379,3.448614794,Qd,0.385683977,l,1.25,425.0,4.434992,129,70
-76.56758894,3.454532373,Qd,0.190991408,l,1.25,425.0,3.6548288,141,67
-76.54551747,3.448581064,Qd,0.436216445,l,1.25,425.0,3.555742,129,69
-76.57336316,3.453597864,Qd,0.29905403,l,1.25,555.0,3.6548288,131,67
-76.54489688,3.439161375,Qd,1.343016957,l,1.25,425.0,6.5705357,131,70
-76.56299585,3.454390157,Qd,0.271896478,l,1.25,425.0,3.4151561,141,68
-76.54094972,3.436794774,Qd,1.047847447,l,1.25,330.0,7.274729,135,70
-76.56298254,3.450906703,Qd,0.332476871,l,1.25,555.0,10.132632,141,68
-76.54682466,3.441567725,Qd,1.218239522,l,1.25,555.0,5.0836954,143,69
-76.57876613,3.454084408,Qd,0.222509351,l,1.25,555.0,10.063603,131,65
-76.55955779,3.45408754,Qd,0.565168886,l,1.25,555.0,2.8816383,137,68
-76.5425123,3.438554601,Qd,1.282949905,l,1.25,425.0,7.274729,131,70
-76.53829492,3.448197167,Qd,0.43212198,l,1.25,425.0,4.434992,129,70
-76.53989413,3.44269818,Qd,1.043581436,l,1.25,425.0,4.886984,131,70
-76.53968995,3.440307205,Qd,1.309445726,l,1.25,425.0,4.886984,131,70
-76.5399496,3.447472352,Qd,0.512717731,l,1.25,425.0,4.4349966,129,70
-76.53971201,3.446579071,Qd,0.612046046,l,1.25,425.0,4.4349966,129,70
-76.54493181,3.43892759,Qd,1.317021251,l,1.25,425.0,6.5705357,131,70
-76.53994544,3.444056173,Qd,0.892579504,l,1.25,425.0,4.4349966,131,70
-76.57690194,3.454947046,Qd,0.319068485,l,1.25,555.0,3.6548288,133,65
-76.56533344,3.453430033,Qd,0.313566024,l,1.25,555.0,3.6548288,141,67
-76.55620803,3.454699774,Qd,0.530033293,l,1.25,425.0,12.397426,138,68
-76.56343793,3.454923715,Qd,0.194860367,l,1.25,425.0,3.4151561,141,68
-76.54479559,3.443571121,Qd,0.953628703,l,1.25,425.0,5.0836954,131,70
-76.53916644,3.44351525,Qd,0.952727398,l,1.25,425.0,5.4466,131,70
-76.56441749,3.454429684,Qd,0.203248216,l,1.25,425.0,3.4151561,141,68
-76.53887841,3.449268721,Qd,0.312970612,l,1.25,425.0,4.434992,129,70
-76.58244476,3.456737346,Qd,0.271989576,l,1.25,555.0,2.6432273,135,65
-76.58245744,3.457049033,Qd,0.295499505,l,1.25,555.0,2.6432273,135,65
-76.540221,3.439490744,Qd,1.266198223,l,1.25,425.0,7.274729,131,70
-76.56279229,3.454508788,Qd,0.277729533,l,1.25,425.0,3.4151561,141,68
-76.54286841,3.449093271,Qd,0.332479762,l,1.25,425.0,3.9706867,129,70
-76.55904743,3.453711573,Qd,0.634857841,l,1.25,555.0,2.8816383,137,68
-76.57209538,3.4526441,Qd,0.400957786,l,1.25,555.0,3.195296,131,67
-76.54468509,3.443794739,Qd,0.927496268,l,1.25,425.0,4.0603037,131,70
-76.56412602,3.453958392,Qd,0.259839554,l,1.25,555.0,3.4151561,141,68
-76.5850285,3.459618377,Qd,0.295364582,l,1.25,555.0,2.6432273,135,64
-76.5422389,3.444078962,Qd,0.890045483,l,1.25,425.0,4.4349966,131,70
-76.54926946,3.445357534,Qd,0.750072854,l,1.25,555.0,3.634219,143,69
