rup_mag,rup_rake,rup_dip,rup_ztor,rup_width,rup_hypo_depth,dist_rrup,dist_rjb,dist_rx,site_vs30,site_z2pt5,result_type,damping,pgv,pga,0.010,0.050,0.100,0.150,0.200,0.300,0.500,0.750,1.000,1.500,2.000,3.000,4.000,5.000,7.500,10.000
4.00,-90.00,30.00,0.00,1.13,0.00,0.00,0.00,0.00,150.00,5.00,INTRA_EVENT_STDDEV,5.0,6.345401E-01,6.771298E-01,6.771298E-01,7.000924E-01,6.865724E-01,6.876909E-01,6.863559E-01,6.694112E-01,6.289595E-01,5.856406E-01,5.660592E-01,5.357799E-01,5.277250E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,19.03,19.02,20.00,150.00,5.00,INTRA_EVENT_STDDEV,5.0,6.518710E-01,7.250330E-01,7.250330E-01,7.645165E-01,7.554617E-01,7.558834E-01,7.491342E-01,7.179661E-01,6.576710E-01,6.027958E-01,5.769555E-01,5.401855E-01,5.288066E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,39.02,39.02,40.00,150.00,5.00,INTRA_EVENT_STDDEV,5.0,6.540491E-01,7.312641E-01,7.312641E-01,7.731773E-01,7.648489E-01,7.649876E-01,7.573770E-01,7.242463E-01,6.613762E-01,6.050230E-01,5.783763E-01,5.407519E-01,5.289413E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,59.02,59.02,60.00,150.00,5.00,INTRA_EVENT_STDDEV,5.0,6.545373E-01,7.326676E-01,7.326676E-01,7.751369E-01,7.669762E-01,7.670449E-01,7.592354E-01,7.256593E-01,6.622094E-01,6.055243E-01,5.786963E-01,5.408792E-01,5.289714E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,79.02,79.02,80.00,150.00,5.00,INTRA_EVENT_STDDEV,5.0,6.547232E-01,7.332028E-01,7.332028E-01,7.758849E-01,7.677886E-01,7.678299E-01,7.599441E-01,7.261979E-01,6.625270E-01,6.057154E-01,5.788183E-01,5.409277E-01,5.289829E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,99.01,99.02,100.00,150.00,5.00,INTRA_EVENT_STDDEV,5.0,6.548435E-01,7.335490E-01,7.335490E-01,7.763691E-01,7.683145E-01,7.683380E-01,7.604027E-01,7.265463E-01,6.627325E-01,6.058390E-01,5.788972E-01,5.409591E-01,5.289903E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,119.01,119.02,120.00,150.00,5.00,INTRA_EVENT_STDDEV,5.0,6.549056E-01,7.337281E-01,7.337281E-01,7.766196E-01,7.685867E-01,7.686009E-01,7.606399E-01,7.267265E-01,6.628387E-01,6.059029E-01,5.789380E-01,5.409754E-01,5.289942E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,0.00,0.00,0.00,150.00,5.00,INTRA_EVENT_STDDEV,5.0,6.345401E-01,6.771298E-01,6.771298E-01,7.000924E-01,6.865724E-01,6.876909E-01,6.863559E-01,6.694112E-01,6.289595E-01,5.856406E-01,5.660592E-01,5.357799E-01,5.277250E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,20.00,20.00,-20.00,150.00,5.00,INTRA_EVENT_STDDEV,5.0,6.521062E-01,7.257035E-01,7.257035E-01,7.654454E-01,7.564673E-01,7.568607E-01,7.500205E-01,7.186424E-01,6.580701E-01,6.030356E-01,5.771084E-01,5.402466E-01,5.288211E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,40.00,40.00,-40.00,150.00,5.00,INTRA_EVENT_STDDEV,5.0,6.540889E-01,7.313784E-01,7.313784E-01,7.733368E-01,7.650221E-01,7.651552E-01,7.575284E-01,7.243615E-01,6.614441E-01,6.050639E-01,5.784024E-01,5.407623E-01,5.289437E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
