rup_mag,rup_rake,rup_dip,rup_ztor,rup_width,rup_hypo_depth,dist_rrup,dist_rjb,dist_rx,site_vs30,site_z2pt5,result_type,damping,pgv,pga,0.010,0.050,0.100,0.150,0.200,0.300,0.500,0.750,1.000,1.500,2.000,3.000,4.000,5.000,7.500,10.000
4.00,-90.00,30.00,0.00,1.13,0.00,0.00,0.00,0.00,150.00,5.00,INTRA_EVENT_STDDEV,5.0,6.306744E-01,6.668323E-01,6.668323E-01,6.867561E-01,6.725704E-01,6.735141E-01,6.730577E-01,6.589540E-01,6.227650E-01,5.819667E-01,5.637371E-01,5.348229E-01,5.274810E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,19.03,19.02,20.00,150.00,5.00,INTRA_EVENT_STDDEV,5.0,6.512264E-01,7.231982E-01,7.231982E-01,7.619783E-01,7.527154E-01,7.532117E-01,7.467094E-01,7.161146E-01,6.565782E-01,6.021395E-01,5.765371E-01,5.400184E-01,5.287667E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,39.02,39.02,40.00,150.00,5.00,INTRA_EVENT_STDDEV,5.0,6.538512E-01,7.306960E-01,7.306960E-01,7.723850E-01,7.639892E-01,7.641556E-01,7.566250E-01,7.236743E-01,6.610387E-01,6.048201E-01,5.782468E-01,5.407003E-01,5.289290E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,59.02,59.02,60.00,150.00,5.00,INTRA_EVENT_STDDEV,5.0,6.544408E-01,7.323901E-01,7.323901E-01,7.747491E-01,7.665552E-01,7.666379E-01,7.588678E-01,7.253799E-01,6.620447E-01,6.054252E-01,5.786330E-01,5.408540E-01,5.289655E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,79.02,79.02,80.00,150.00,5.00,INTRA_EVENT_STDDEV,5.0,6.546655E-01,7.330365E-01,7.330365E-01,7.756524E-01,7.675361E-01,7.675860E-01,7.597239E-01,7.260305E-01,6.624284E-01,6.056560E-01,5.787804E-01,5.409127E-01,5.289793E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,99.01,99.02,100.00,150.00,5.00,INTRA_EVENT_STDDEV,5.0,6.547978E-01,7.334174E-01,7.334174E-01,7.761850E-01,7.681146E-01,7.681449E-01,7.602284E-01,7.264139E-01,6.626544E-01,6.057920E-01,5.788672E-01,5.409472E-01,5.289875E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,119.01,119.02,120.00,150.00,5.00,INTRA_EVENT_STDDEV,5.0,6.548693E-01,7.336233E-01,7.336233E-01,7.764729E-01,7.684274E-01,7.684470E-01,7.605010E-01,7.266210E-01,6.627765E-01,6.058655E-01,5.789141E-01,5.409659E-01,5.289919E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,0.00,0.00,0.00,150.00,5.00,INTRA_EVENT_STDDEV,5.0,6.306744E-01,6.668323E-01,6.668323E-01,6.867561E-01,6.725704E-01,6.735141E-01,6.730577E-01,6.589540E-01,6.227650E-01,5.819667E-01,5.637371E-01,5.348229E-01,5.274810E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,20.00,20.00,-20.00,150.00,5.00,INTRA_EVENT_STDDEV,5.0,6.515094E-01,7.240032E-01,7.240032E-01,7.630912E-01,7.539193E-01,7.543833E-01,7.477730E-01,7.169270E-01,6.570577E-01,6.024274E-01,5.767207E-01,5.400918E-01,5.287842E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,40.00,40.00,-40.00,150.00,5.00,INTRA_EVENT_STDDEV,5.0,6.538993E-01,7.308340E-01,7.308340E-01,7.725774E-01,7.641979E-01,7.643576E-01,7.568076E-01,7.238132E-01,6.611207E-01,6.048694E-01,5.782783E-01,5.407128E-01,5.289320E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
